Unnamed: 0,level_0,index,survived,sex,age,fare,class,who,alive
0,0,0,0,male,22.0,7.25,Third,man,no
1,1,1,1,female,38.0,71.2833,First,woman,yes
2,2,2,1,female,26.0,7.925,Third,woman,yes
3,3,3,1,female,35.0,53.1,First,woman,yes
4,4,4,0,male,35.0,8.05,Third,man,no
5,5,5,0,male,29.69911764705882,8.4583,Third,man,no
6,6,6,0,male,54.0,51.8625,First,man,no
7,7,7,0,male,2.0,21.075,Third,child,no
8,8,8,1,female,27.0,11.1333,Third,woman,yes
9,9,9,1,female,14.0,30.0708,Second,child,yes
10,10,10,1,female,4.0,16.7,Third,child,yes
11,11,11,1,female,58.0,26.55,First,woman,yes
12,12,12,0,male,20.0,8.05,Third,man,no
13,13,13,0,male,39.0,31.275,Third,man,no
14,14,14,0,female,14.0,7.8542,Third,child,no
15,15,15,1,female,55.0,16.0,Second,woman,yes
16,16,16,0,male,2.0,29.125,Third,child,no
17,17,17,1,male,29.69911764705882,13.0,Second,man,yes
18,18,18,0,female,31.0,18.0,Third,woman,no
19,19,19,1,female,29.69911764705882,7.225,Third,woman,yes
20,20,20,0,male,35.0,26.0,Second,man,no
21,21,21,1,male,34.0,13.0,Second,man,yes
22,22,22,1,female,15.0,8.0292,Third,child,yes
23,23,23,1,male,28.0,35.5,First,man,yes
24,24,24,0,female,8.0,21.075,Third,child,no
25,25,25,1,female,38.0,31.3875,Third,woman,yes
26,26,26,0,male,29.69911764705882,7.225,Third,man,no
27,27,27,0,male,19.0,263.0,First,man,no
28,28,28,1,female,29.69911764705882,7.8792,Third,woman,yes
29,29,29,0,male,29.69911764705882,7.8958,Third,man,no
30,30,30,0,male,40.0,27.7208,First,man,no
31,31,31,1,female,29.69911764705882,146.5208,First,woman,yes
32,32,32,1,female,29.69911764705882,7.75,Third,woman,yes
33,33,33,0,male,66.0,10.5,Second,man,no
34,34,34,0,male,28.0,82.1708,First,man,no
35,35,35,0,male,42.0,52.0,First,man,no
36,36,36,1,male,29.69911764705882,7.2292,Third,man,yes
37,37,37,0,male,21.0,8.05,Third,man,no
38,38,38,0,female,18.0,18.0,Third,woman,no
39,39,39,1,female,14.0,11.2417,Third,child,yes
40,40,40,0,female,40.0,9.475,Third,woman,no
41,41,41,0,female,27.0,21.0,Second,woman,no
42,42,42,0,male,29.69911764705882,7.8958,Third,man,no
43,43,43,1,female,3.0,41.5792,Second,child,yes
44,44,44,1,female,19.0,7.8792,Third,woman,yes
45,45,45,0,male,29.69911764705882,8.05,Third,man,no
46,46,46,0,male,29.69911764705882,15.5,Third,man,no
47,47,47,1,female,29.69911764705882,7.75,Third,woman,yes
48,48,48,0,male,29.69911764705882,21.6792,Third,man,no
49,49,49,0,female,18.0,17.8,Third,woman,no
50,50,50,0,male,7.0,39.6875,Third,child,no
51,51,51,0,male,21.0,7.8,Third,man,no
52,52,52,1,female,49.0,76.7292,First,woman,yes
53,53,53,1,female,29.0,26.0,Second,woman,yes
54,54,54,0,male,65.0,61.9792,First,man,no
55,55,55,1,male,29.69911764705882,35.5,First,man,yes
56,56,56,1,female,21.0,10.5,Second,woman,yes
57,57,57,0,male,28.5,7.2292,Third,man,no
58,58,58,1,female,5.0,27.75,Second,child,yes
59,59,59,0,male,11.0,46.9,Third,child,no
60,60,60,0,male,22.0,7.2292,Third,man,no
61,61,61,1,female,38.0,80.0,First,woman,yes
62,62,62,0,male,45.0,83.475,First,man,no
63,63,63,0,male,4.0,27.9,Third,child,no
64,64,64,0,male,29.69911764705882,27.7208,First,man,no
65,65,65,1,male,29.69911764705882,15.2458,Third,man,yes
66,66,66,1,female,29.0,10.5,Second,woman,yes
67,67,67,0,male,19.0,8.1583,Third,man,no
68,68,68,1,female,17.0,7.925,Third,woman,yes
69,69,69,0,male,26.0,8.6625,Third,man,no
70,70,70,0,male,32.0,10.5,Second,man,no
71,71,71,0,female,16.0,46.9,Third,woman,no
72,72,72,0,male,21.0,73.5,Second,man,no
73,73,73,0,male,26.0,14.4542,Third,man,no
74,74,74,1,male,32.0,56.4958,Third,man,yes
75,75,75,0,male,25.0,7.65,Third,man,no
76,76,76,0,male,29.69911764705882,7.8958,Third,man,no
77,77,77,0,male,29.69911764705882,8.05,Third,man,no
78,78,78,1,male,0.83,29.0,Second,child,yes
79,79,79,1,female,30.0,12.475,Third,woman,yes
80,80,80,0,male,22.0,9.0,Third,man,no
81,81,81,1,male,29.0,9.5,Third,man,yes
82,82,82,1,female,29.69911764705882,7.7875,Third,woman,yes
83,83,83,0,male,28.0,47.1,First,man,no
84,84,84,1,female,17.0,10.5,Second,woman,yes
85,85,85,1,female,33.0,15.85,Third,woman,yes
86,86,86,0,male,16.0,34.375,Third,man,no
87,87,87,0,male,29.69911764705882,8.05,Third,man,no
88,88,88,1,female,23.0,263.0,First,woman,yes
89,89,89,0,male,24.0,8.05,Third,man,no
90,90,90,0,male,29.0,8.05,Third,man,no
91,91,91,0,male,20.0,7.8542,Third,man,no
92,92,92,0,male,46.0,61.175,First,man,no
93,93,93,0,male,26.0,20.575,Third,man,no
94,94,94,0,male,59.0,7.25,Third,man,no
95,95,95,0,male,29.69911764705882,8.05,Third,man,no
96,96,96,0,male,71.0,34.6542,First,man,no
97,97,97,1,male,23.0,63.3583,First,man,yes
98,98,98,1,female,34.0,23.0,Second,woman,yes
99,99,99,0,male,34.0,26.0,Second,man,no
100,100,100,0,female,28.0,7.8958,Third,woman,no
101,101,101,0,male,29.69911764705882,7.8958,Third,man,no
102,102,102,0,male,21.0,77.2875,First,man,no
103,103,103,0,male,33.0,8.6542,Third,man,no
104,104,104,0,male,37.0,7.925,Third,man,no
105,105,105,0,male,28.0,7.8958,Third,man,no
106,106,106,1,female,21.0,7.65,Third,woman,yes
107,107,107,1,male,29.69911764705882,7.775,Third,man,yes
108,108,108,0,male,38.0,7.8958,Third,man,no
109,109,109,1,female,29.69911764705882,24.15,Third,woman,yes
110,110,110,0,male,47.0,52.0,First,man,no
111,111,111,0,female,14.5,14.4542,Third,child,no
112,112,112,0,male,22.0,8.05,Third,man,no
113,113,113,0,female,20.0,9.825,Third,woman,no
114,114,114,0,female,17.0,14.4583,Third,woman,no
115,115,115,0,male,21.0,7.925,Third,man,no
116,116,116,0,male,70.5,7.75,Third,man,no
117,117,117,0,male,29.0,21.0,Second,man,no
118,118,118,0,male,24.0,247.5208,First,man,no
119,119,119,0,female,2.0,31.275,Third,child,no
120,120,120,0,male,21.0,73.5,Second,man,no
121,121,121,0,male,29.69911764705882,8.05,Third,man,no
122,122,122,0,male,32.5,30.0708,Second,man,no
123,123,123,1,female,32.5,13.0,Second,woman,yes
124,124,124,0,male,54.0,77.2875,First,man,no
125,125,125,1,male,12.0,11.2417,Third,child,yes
126,126,126,0,male,29.69911764705882,7.75,Third,man,no
127,127,127,1,male,24.0,7.1417,Third,man,yes
128,128,128,1,female,29.69911764705882,22.3583,Third,woman,yes
129,129,129,0,male,45.0,6.975,Third,man,no
130,130,130,0,male,33.0,7.8958,Third,man,no
131,131,131,0,male,20.0,7.05,Third,man,no
132,132,132,0,female,47.0,14.5,Third,woman,no
133,133,133,1,female,29.0,26.0,Second,woman,yes
134,134,134,0,male,25.0,13.0,Second,man,no
135,135,135,0,male,23.0,15.0458,Second,man,no
136,136,136,1,female,19.0,26.2833,First,woman,yes
137,137,137,0,male,37.0,53.1,First,man,no
138,138,138,0,male,16.0,9.2167,Third,man,no
139,139,139,0,male,24.0,79.2,First,man,no
140,140,140,0,female,29.69911764705882,15.2458,Third,woman,no
141,141,141,1,female,22.0,7.75,Third,woman,yes
142,142,142,1,female,24.0,15.85,Third,woman,yes
143,143,143,0,male,19.0,6.75,Third,man,no
144,144,144,0,male,18.0,11.5,Second,man,no
145,145,145,0,male,19.0,36.75,Second,man,no
146,146,146,1,male,27.0,7.7958,Third,man,yes
147,147,147,0,female,9.0,34.375,Third,child,no
148,148,148,0,male,36.5,26.0,Second,man,no
149,149,149,0,male,42.0,13.0,Second,man,no
150,150,150,0,male,51.0,12.525,Second,man,no
151,151,151,1,female,22.0,66.6,First,woman,yes
152,152,152,0,male,55.5,8.05,Third,man,no
153,153,153,0,male,40.5,14.5,Third,man,no
154,154,154,0,male,29.69911764705882,7.3125,Third,man,no
155,155,155,0,male,51.0,61.3792,First,man,no
156,156,156,1,female,16.0,7.7333,Third,woman,yes
157,157,157,0,male,30.0,8.05,Third,man,no
158,158,158,0,male,29.69911764705882,8.6625,Third,man,no
159,159,159,0,male,29.69911764705882,69.55,Third,man,no
160,160,160,0,male,44.0,16.1,Third,man,no
161,161,161,1,female,40.0,15.75,Second,woman,yes
162,162,162,0,male,26.0,7.775,Third,man,no
163,163,163,0,male,17.0,8.6625,Third,man,no
164,164,164,0,male,1.0,39.6875,Third,child,no
165,165,165,1,male,9.0,20.525,Third,child,yes
166,166,166,1,female,29.69911764705882,55.0,First,woman,yes
167,167,167,0,female,45.0,27.9,Third,woman,no
168,168,168,0,male,29.69911764705882,25.925,First,man,no
169,169,169,0,male,28.0,56.4958,Third,man,no
170,170,170,0,male,61.0,33.5,First,man,no
171,171,171,0,male,4.0,29.125,Third,child,no
172,172,172,1,female,1.0,11.1333,Third,child,yes
173,173,173,0,male,21.0,7.925,Third,man,no
174,174,174,0,male,56.0,30.6958,First,man,no
175,175,175,0,male,18.0,7.8542,Third,man,no
176,176,176,0,male,29.69911764705882,25.4667,Third,man,no
177,177,177,0,female,50.0,28.7125,First,woman,no
178,178,178,0,male,30.0,13.0,Second,man,no
179,179,179,0,male,36.0,0.0,Third,man,no
180,180,180,0,female,29.69911764705882,69.55,Third,woman,no
181,181,181,0,male,29.69911764705882,15.05,Second,man,no
182,182,182,0,male,9.0,31.3875,Third,child,no
183,183,183,1,male,1.0,39.0,Second,child,yes
184,184,184,1,female,4.0,22.025,Third,child,yes
185,185,185,0,male,29.69911764705882,50.0,First,man,no
186,186,186,1,female,29.69911764705882,15.5,Third,woman,yes
187,187,187,1,male,45.0,26.55,First,man,yes
188,188,188,0,male,40.0,15.5,Third,man,no
189,189,189,0,male,36.0,7.8958,Third,man,no
190,190,190,1,female,32.0,13.0,Second,woman,yes
191,191,191,0,male,19.0,13.0,Second,man,no
192,192,192,1,female,19.0,7.8542,Third,woman,yes
193,193,193,1,male,3.0,26.0,Second,child,yes
194,194,194,1,female,44.0,27.7208,First,woman,yes
195,195,195,1,female,58.0,146.5208,First,woman,yes
196,196,196,0,male,29.69911764705882,7.75,Third,man,no
197,197,197,0,male,42.0,8.4042,Third,man,no
198,198,198,1,female,29.69911764705882,7.75,Third,woman,yes
199,199,199,0,female,24.0,13.0,Second,woman,no
200,200,200,0,male,28.0,9.5,Third,man,no
201,201,201,0,male,29.69911764705882,69.55,Third,man,no
202,202,202,0,male,34.0,6.4958,Third,man,no
203,203,203,0,male,45.5,7.225,Third,man,no
204,204,204,1,male,18.0,8.05,Third,man,yes
205,205,205,0,female,2.0,10.4625,Third,child,no
206,206,206,0,male,32.0,15.85,Third,man,no
207,207,207,1,male,26.0,18.7875,Third,man,yes
208,208,208,1,female,16.0,7.75,Third,woman,yes
209,209,209,1,male,40.0,31.0,First,man,yes
210,210,210,0,male,24.0,7.05,Third,man,no
211,211,211,1,female,35.0,21.0,Second,woman,yes
212,212,212,0,male,22.0,7.25,Third,man,no
213,213,213,0,male,30.0,13.0,Second,man,no
214,214,214,0,male,29.69911764705882,7.75,Third,man,no
215,215,215,1,female,31.0,113.275,First,woman,yes
216,216,216,1,female,27.0,7.925,Third,woman,yes
217,217,217,0,male,42.0,27.0,Second,man,no
218,218,218,1,female,32.0,76.2917,First,woman,yes
219,219,219,0,male,30.0,10.5,Second,man,no
220,220,220,1,male,16.0,8.05,Third,man,yes
221,221,221,0,male,27.0,13.0,Second,man,no
222,222,222,0,male,51.0,8.05,Third,man,no
223,223,223,0,male,29.69911764705882,7.8958,Third,man,no
224,224,224,1,male,38.0,90.0,First,man,yes
225,225,225,0,male,22.0,9.35,Third,man,no
226,226,226,1,male,19.0,10.5,Second,man,yes
227,227,227,0,male,20.5,7.25,Third,man,no
228,228,228,0,male,18.0,13.0,Second,man,no
229,229,229,0,female,29.69911764705882,25.4667,Third,woman,no
230,230,230,1,female,35.0,83.475,First,woman,yes
231,231,231,0,male,29.0,7.775,Third,man,no
232,232,232,0,male,59.0,13.5,Second,man,no
233,233,233,1,female,5.0,31.3875,Third,child,yes
234,234,234,0,male,24.0,10.5,Second,man,no
235,235,235,0,female,29.69911764705882,7.55,Third,woman,no
236,236,236,0,male,44.0,26.0,Second,man,no
237,237,237,1,female,8.0,26.25,Second,child,yes
238,238,238,0,male,19.0,10.5,Second,man,no
239,239,239,0,male,33.0,12.275,Second,man,no
240,240,240,0,female,29.69911764705882,14.4542,Third,woman,no
241,241,241,1,female,29.69911764705882,15.5,Third,woman,yes
242,242,242,0,male,29.0,10.5,Second,man,no
243,243,243,0,male,22.0,7.125,Third,man,no
244,244,244,0,male,30.0,7.225,Third,man,no
245,245,245,0,male,44.0,90.0,First,man,no
246,246,246,0,female,25.0,7.775,Third,woman,no
247,247,247,1,female,24.0,14.5,Second,woman,yes
248,248,248,1,male,37.0,52.5542,First,man,yes
249,249,249,0,male,54.0,26.0,Second,man,no
250,250,250,0,male,29.69911764705882,7.25,Third,man,no
251,251,251,0,female,29.0,10.4625,Third,woman,no
252,252,252,0,male,62.0,26.55,First,man,no
253,253,253,0,male,30.0,16.1,Third,man,no
254,254,254,0,female,41.0,20.2125,Third,woman,no
255,255,255,1,female,29.0,15.2458,Third,woman,yes
256,256,256,1,female,29.69911764705882,79.2,First,woman,yes
257,257,257,1,female,30.0,86.5,First,woman,yes
258,258,258,1,female,35.0,512.3292,First,woman,yes
259,259,259,1,female,50.0,26.0,Second,woman,yes
260,260,260,0,male,29.69911764705882,7.75,Third,man,no
261,261,261,1,male,3.0,31.3875,Third,child,yes
262,262,262,0,male,52.0,79.65,First,man,no
263,263,263,0,male,40.0,0.0,First,man,no
264,264,264,0,female,29.69911764705882,7.75,Third,woman,no
265,265,265,0,male,36.0,10.5,Second,man,no
266,266,266,0,male,16.0,39.6875,Third,man,no
267,267,267,1,male,25.0,7.775,Third,man,yes
268,268,268,1,female,58.0,153.4625,First,woman,yes
269,269,269,1,female,35.0,135.6333,First,woman,yes
270,270,270,0,male,29.69911764705882,31.0,First,man,no
271,271,271,1,male,25.0,0.0,Third,man,yes
272,272,272,1,female,41.0,19.5,Second,woman,yes
273,273,273,0,male,37.0,29.7,First,man,no
274,274,274,1,female,29.69911764705882,7.75,Third,woman,yes
275,275,275,1,female,63.0,77.9583,First,woman,yes
276,276,276,0,female,45.0,7.75,Third,woman,no
277,277,277,0,male,29.69911764705882,0.0,Second,man,no
278,278,278,0,male,7.0,29.125,Third,child,no
279,279,279,1,female,35.0,20.25,Third,woman,yes
280,280,280,0,male,65.0,7.75,Third,man,no
281,281,281,0,male,28.0,7.8542,Third,man,no
282,282,282,0,male,16.0,9.5,Third,man,no
283,283,283,1,male,19.0,8.05,Third,man,yes
284,284,284,0,male,29.69911764705882,26.0,First,man,no
285,285,285,0,male,33.0,8.6625,Third,man,no
286,286,286,1,male,30.0,9.5,Third,man,yes
287,287,287,0,male,22.0,7.8958,Third,man,no
288,288,288,1,male,42.0,13.0,Second,man,yes
289,289,289,1,female,22.0,7.75,Third,woman,yes
290,290,290,1,female,26.0,78.85,First,woman,yes
291,291,291,1,female,19.0,91.0792,First,woman,yes
292,292,292,0,male,36.0,12.875,Second,man,no
293,293,293,0,female,24.0,8.85,Third,woman,no
294,294,294,0,male,24.0,7.8958,Third,man,no
295,295,295,0,male,29.69911764705882,27.7208,First,man,no
296,296,296,0,male,23.5,7.2292,Third,man,no
297,297,297,0,female,2.0,151.55,First,child,no
298,298,298,1,male,29.69911764705882,30.5,First,man,yes
299,299,299,1,female,50.0,247.5208,First,woman,yes
300,300,300,1,female,29.69911764705882,7.75,Third,woman,yes
301,301,301,1,male,29.69911764705882,23.25,Third,man,yes
302,302,302,0,male,19.0,0.0,Third,man,no
303,303,303,1,female,29.69911764705882,12.35,Second,woman,yes
304,304,304,0,male,29.69911764705882,8.05,Third,man,no
305,305,305,1,male,0.92,151.55,First,child,yes
306,306,306,1,female,29.69911764705882,110.8833,First,woman,yes
307,307,307,1,female,17.0,108.9,First,woman,yes
308,308,308,0,male,30.0,24.0,Second,man,no
309,309,309,1,female,30.0,56.9292,First,woman,yes
310,310,310,1,female,24.0,83.1583,First,woman,yes
311,311,311,1,female,18.0,262.375,First,woman,yes
312,312,312,0,female,26.0,26.0,Second,woman,no
313,313,313,0,male,28.0,7.8958,Third,man,no
314,314,314,0,male,43.0,26.25,Second,man,no
315,315,315,1,female,26.0,7.8542,Third,woman,yes
316,316,316,1,female,24.0,26.0,Second,woman,yes
317,317,317,0,male,54.0,14.0,Second,man,no
318,318,318,1,female,31.0,164.8667,First,woman,yes
319,319,319,1,female,40.0,134.5,First,woman,yes
320,320,320,0,male,22.0,7.25,Third,man,no
321,321,321,0,male,27.0,7.8958,Third,man,no
322,322,322,1,female,30.0,12.35,Second,woman,yes
323,323,323,1,female,22.0,29.0,Second,woman,yes
324,324,324,0,male,29.69911764705882,69.55,Third,man,no
325,325,325,1,female,36.0,135.6333,First,woman,yes
326,326,326,0,male,61.0,6.2375,Third,man,no
